Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_4(1),0,1,7,5.15E+09,601.136,0,0,0.142044,0,0,1771,0,123.13,1.18E+10,8.34E+10,1.18E+10,241.256,19560,75811,128491,0.776572,0.772509,75753,129136,0.758305,0.757544
ICCAD2023_floorplanning_case_4(1),0,1,8,5.46E+09,601.059,0,0,0.200302,0,0,1483,0,158.919,1.25E+10,6.22E+10,1.25E+10,256.488,19560,75755,128088,0.779006,0.771929,75707,128997,0.748871,0.74686
ICCAD2023_floorplanning_case_4(1),0,1,9,5.41E+09,601.067,0,0,0.15019,0,0,1603,0,169.729,1.25E+10,8.31E+10,1.25E+10,289.286,19560,75774,129050,0.761204,0.760145,75643,128314,0.760229,0.753536
ICCAD2023_floorplanning_case_4(1),0,1,10,1.07E+10,601.605,0,0,0.241415,0,0,137,0,162.155,1.27E+10,5.24E+10,1.27E+10,295.316,19560,75790,129038,0.760311,0.759343,75601,129075,0.769049,0.766373
ICCAD2023_floorplanning_case_4(1),0,1,11,6.99E+09,601.185,0,0,0.200964,0,0,707,0,334.049,1.22E+10,6.05E+10,1.22E+10,443.777,19560,75790,128878,0.78383,0.781861,75660,128916,0.757665,0.754688
ICCAD2023_floorplanning_case_4(1),0,1,12,6.44E+09,601.222,0,0,0.142448,0,0,1078,0,279.651,1.18E+10,8.32E+10,1.18E+10,395.221,19560,75771,128776,0.789771,0.786966,75808,128370,0.751463,0.746798
ICCAD2023_floorplanning_case_4(1),0,1,13,7.52E+09,601.481,0,0,0.215432,0,0,745,0,307.413,1.27E+10,5.88E+10,1.27E+10,406.388,19560,75790,129153,0.769458,0.769162,75072,127818,0.790433,0.774554
ICCAD2023_floorplanning_case_4(1),0,1,14,6.25E+09,601.343,0,0,0.217161,0,0,1183,0,235.719,1.30E+10,5.98E+10,1.30E+10,383.21,19560,75806,128342,0.766055,0.761113,75762,127579,0.773816,0.76381
ICCAD2023_floorplanning_case_4(1),0,1,15,6.50E+09,601.215,0,0,0.203452,0,0,1105,0,217.418,1.19E+10,5.83E+10,1.19E+10,345.609,19560,75790,128963,0.78133,0.779881,75661,129128,0.771362,0.769605
ICCAD2023_floorplanning_case_4(1),0,1,16,6.13E+09,601.09,0,0,0.155777,0,0,1231,0,233.045,1.20E+10,7.70E+10,1.20E+10,346.088,19560,75806,128952,0.788325,0.786962,75785,128190,0.740867,0.735012
