Instance,Alpha,Gamma,RandSeed,BestWireLength,Time,Iteration,BestIter,BestCost,reject_times,accept_inferior_times,update_best_times,outline_fail_times,outline_adjust_time,InitialWireLength,InitialAvgWireLength,InitialBestWireLength,InitialTime,InitialIteration,layer_0_width,layer_0_height,layer_0_fillrate,layer_0_userate,layer_1_width,layer_1_height,layer_1_fillrate,layer_1_userate
ICCAD2023_floorplanning_case_3(1),0,1,4,9.76E+07,100.22,0,0,0.244566,0,0,0,0,14.635,6.18E+08,2.53E+09,6.18E+08,17.529,3720,40335,40307,0.792486,0.770606,39312,39843,0.852484,0.798622
ICCAD2023_floorplanning_case_3(1),0,1,6,1.18E+08,100.224,0,0,0.247483,0,0,0,0,15.112,6.54E+08,2.64E+09,6.54E+08,17.86,3720,39690,41343,0.799471,0.784628,40272,40175,0.797211,0.771454
ICCAD2023_floorplanning_case_3(1),0,1,7,9.00E+07,100.223,0,0,0.335644,0,0,0,0,6.832,7.28E+08,2.17E+09,7.28E+08,9.532,3720,40392,40938,0.782534,0.773933,40224,40036,0.824022,0.793694
ICCAD2023_floorplanning_case_3(1),0,1,8,7.33E+07,100.234,0,0,0.192259,0,0,0,0,2.115,3.21E+08,1.67E+09,3.21E+08,4.771,3720,39901,41345,0.781071,0.770682,39408,39696,0.852315,0.797461
ICCAD2023_floorplanning_case_3(1),0,1,9,7.61E+07,100.225,0,0,0.187837,0,0,0,0,0.992,4.02E+08,2.14E+09,4.02E+08,3.782,3720,39818,40279,0.82984,0.796032,39984,40944,0.761877,0.746001
ICCAD2023_floorplanning_case_3(1),0,1,10,1.11E+08,100.23,0,0,0.326068,0,0,0,0,6.562,6.77E+08,2.08E+09,6.77E+08,9.249,3720,40224,41036,0.804569,0.794312,40368,40272,0.77486,0.753428
ICCAD2023_floorplanning_case_3(1),0,1,11,7.61E+07,100.234,0,0,0.235188,0,0,0,0,1.768,4.03E+08,1.71E+09,4.03E+08,4.483,3720,40491,41241,0.778691,0.777734,39792,40896,0.804939,0.783462
ICCAD2023_floorplanning_case_3(1),0,1,12,1.21E+08,100.258,0,0,0.264923,0,0,0,0,10.171,6.11E+08,2.31E+09,6.11E+08,13.04,3720,40400,41052,0.795082,0.788688,39936,41259,0.775242,0.764009
ICCAD2023_floorplanning_case_3(1),0,1,13,7.82E+07,100.202,0,0,0.32303,0,0,0,0,1.139,6.45E+08,2.00E+09,6.45E+08,3.875,3720,40458,40921,0.791513,0.783766,37920,41184,0.825515,0.77108
ICCAD2023_floorplanning_case_3(1),0,1,14,9.01E+07,100.21,0,0,0.206486,0,0,0,0,1.817,4.57E+08,2.21E+09,4.57E+08,4.477,3720,40135,41364,0.7911,0.785517,40464,41129,0.772128,0.768571
ICCAD2023_floorplanning_case_3(1),0,1,15,7.85E+07,100.204,0,0,0.160967,0,0,0,0,1.111,2.73E+08,1.69E+09,2.73E+08,4.001,3720,40265,39811,0.820971,0.787112,40224,40608,0.782314,0.764286
ICCAD2023_floorplanning_case_3(1),0,1,16,8.09E+07,100.211,0,0,0.250871,0,0,0,0,5.731,4.06E+08,1.62E+09,4.06E+08,8.391,3720,40403,41322,0.79391,0.792764,36816,39888,0.8577,0.753342
ICCAD2023_floorplanning_case_3(1),0,1,17,1.03E+08,100.211,0,0,0.354368,0,0,0,0,1.779,6.69E+08,1.89E+09,6.69E+08,4.505,3720,40049,41289,0.807636,0.798766,39693,41333,0.75734,0.743155
adjustperturb 从 b _num改为 b_num * b_num,,,,,,,,,,,,,,,,,,,,,,,,,,
ICCAD2023_floorplanning_case_3(1),0,1,1,1.10E+08,100.217,0,0,0.302937,0,0,0,0,2.158,6.60E+08,2.18E+09,6.60E+08,4.769,3720,39901,40427,0.824323,0.7953,37680,41136,0.810321,0.751222
ICCAD2023_floorplanning_case_3(1),0,1,2,8.59E+07,100.216,0,0,0.255112,0,0,0,0,2.046,6.94E+08,2.72E+09,6.94E+08,4.639,3720,39105,40440,0.82587,0.781147,40320,40704,0.794138,0.779528
ICCAD2023_floorplanning_case_3(1),0,1,3,7.93E+07,100.222,0,0,0.145681,0,0,0,0,8.101,3.06E+08,2.10E+09,3.06E+08,10.697,3720,40268,41330,0.790994,0.787366,39072,41325,0.791174,0.764062
ICCAD2023_floorplanning_case_3(1),0,1,4,1.11E+08,100.254,0,0,0.335137,0,0,0,0,2.101,7.86E+08,2.34E+09,7.86E+08,4.694,3720,40374,41381,0.783104,0.782529,40080,40579,0.799556,0.777779
ICCAD2023_floorplanning_case_3(1),0,1,1,9.11E+07,100.207,0,0,0.263706,0,0,0,0,1.373,5.99E+08,2.30E+09,6.06E+08,3.989,3720,40388,41448,0.798034,0.799015,37920,41328,0.790576,0.741027
ICCAD2023_floorplanning_case_3(1),0,1,2,6.66E+07,100.212,0,0,0.273045,0,0,0,0,5.265,5.05E+08,1.85E+09,5.05E+08,7.844,3720,40085,41302,0.7834,0.775737,39360,39168,0.854537,0.787944
ICCAD2023_floorplanning_case_3(1),0,1,3,9.24E+07,100.214,0,0,0.179089,0,0,0,0,5.396,4.18E+08,2.30E+09,4.13E+08,7.994,3720,40131,40697,0.805422,0.786762,40272,39659,0.803649,0.767696
ICCAD2023_floorplanning_case_3(1),0,1,4,8.86E+07,100.216,0,0,0.282553,0,0,0,0,3.257,4.63E+08,1.64E+09,4.63E+08,5.895,3720,40182,40764,0.808125,0.791707,39552,39986,0.798902,0.755697
ICCAD2023_floorplanning_case_3(1),0,1,5,3.77E+08,100.215,0,0,0.280694,0,0,0,0,10.29,6.46E+08,2.30E+09,6.46E+08,12.866,3720,40260,40984,0.795716,0.785279,40368,41376,0.772518,0.771742
ICCAD2023_floorplanning_case_3(1),0,1,6,6.76E+07,100.213,0,0,0.214737,0,0,0,0,1.611,3.53E+08,1.64E+09,3.53E+08,4.205,3720,40365,41286,0.779933,0.777397,38976,41184,0.816393,0.783796
ICCAD2023_floorplanning_case_3(1),0,1,7,1.25E+08,100.222,0,0,0.268763,0,0,0,0,2.684,7.17E+08,2.67E+09,7.17E+08,5.291,3720,40458,41085,0.792927,0.788313,39802,40313,0.798812,0.766606
ICCAD2023_floorplanning_case_3(1),0,1,8,2.86E+08,100.198,0,0,0.226019,0,0,0,0,5.05,5.96E+08,2.64E+09,5.96E+08,7.643,3720,40706,41390,0.773742,0.779701,40368,41386,0.782114,0.781518
ICCAD2023_floorplanning_case_3(1),0,1,9,7.61E+07,100.197,0,0,0.187837,0,0,0,0,0.99,4.02E+08,2.14E+09,4.02E+08,3.594,3720,40247,40279,0.820995,0.796032,39984,40944,0.761877,0.746001
